Time11	2.05480631276901	30588	0.39231071008238527	0.0011325028312570782
Time27	2.0008133387555915	22610	0.3980539584254755	0.001218026796589525
Time19	2.3192232162339077	59335	0.6572849077273111	0.002824245057571149
Time20	2.0	105037	0.7425954663594734	0.002662843097091356
Time12	2.095363079615048	12892	0.6981073533974558	0.002617801047120419
Time3	2.0328806290207293	76429	0.8242944432087297	0.004978662873399715
Time22	2.0338696020321763	13447	0.669294266379118	0.002531645569620253
Time13	2.002370791844476	20466	0.7329228965112871	0.0023651844843897824
Time14	2.331669044222539	5631	0.0	0.0
Time23	2.0	367	0.0	0.0
Time21	2.0	10448	0.8614088820826953	0.006928406466512702
Time24	2.037980441209916	72307	0.2904283126115037	0.0015869417365676718
Time8	2.0	20028	0.7489514679448772	0.0040551500405515
Time5	2.0216284987277353	2346	0.0	0.0
Time17	2.0701412007806224	59251	0.5063205684292248	0.0011442956860052637
Time25	2.7502102607232968	47139	0.7636988480875708	0.00502092050209205
Time4	2.0185701021355618	7117	0.4215259238443164	9.174311926605505E-4
Time10	2.137151106833494	6537	0.0	0.0
Time1	2.008532423208191	3234	0.0	0.0
Time9	2.0	20819	0.7204957010423171	0.0040650406504065045
Time18	6.433870967741935	10179	0.0	0.0
Time7	2.6312958435207823	74491	0.16109328643728774	9.751340809361287E-4
Time2	2.198943661971831	3815	0.0	0.0
Time15	2.0	52	0.0	0.0
Time16	2.575486468351599	102948	0.378832031705327	0.002896613190730838
Time6	2.018181818181818	1354	0.0	0.0
Time26	2.006146572104019	59617	0.5535333881275475	0.0051740357478833494
Chart11	2.0	508	0.0	0.0
Chart19	2.0	50624	0.5926042983565107	0.0020475020475020475
Chart20	2.0	1536	0.0	0.0
Chart12	2.0004460303300626	8386	0.0	0.0
Chart3	2.023492560689115	8879	0.3378758869242032	7.8003120124805E-4
Chart22	2.0	676	0.0	0.0
Chart13	2.0066643283058574	11177	0.0	0.0
Chart14	2.0	2040	0.0	0.0
Chart23	2.0	23519	0.7653386623580934	0.0029702970297029703
Chart21	2.0195652173913046	3174	0.0	0.0
Chart24	2.0	284	0.0	0.0
Chart8	5.109442060085837	9372	0.0	0.0
Chart5	2.514851485148515	1148	0.0	0.0
Chart17	2.010688836104513	2848	0.0	0.0
Chart25	2.031424351821464	430291	0.39043345085070336	0.002266197240095504
Chart4	2.0693359375	33728	0.3557874762808349	9.7442143727162E-4
Chart10	2.0	240	0.0	0.0
Chart1	2.0	47410	0.6960556844547564	0.0030013642564802184
Chart9	2.0997275204359673	7318	0.0	0.0
Chart18	2.017777777777778	539	0.0	0.0
Chart7	2.006485084306096	4956	0.0	0.0
Chart2	2.0	2255	0.0	0.0
Chart15	2.0	91917	0.5222102549038806	0.001918925401775006
Chart16	2.0	539	0.0	0.0
Chart6	2.690909090909091	5582	0.5374417771408098	0.004524886877828055
Chart26	2.0726420620972466	230853	0.5328065912073917	0.003385631709331131
Mockito_ali11	2.0030441400304415	35761	0.838902715248455	0.007535795026375283
Mockito_ali28	1.8358689291983616	60796	0.5921442200144746	0.0034853325588149867
Mockito_ali27	2.0762626262626265	26327	0.34185437003836366	7.547169811320754E-4
Mockito_ali19	2.0023037935800954	221961	0.35141308608269023	0.003958587088915956
Mockito_ali20	2.0	46897	0.7676397210909013	0.005454545454545455
Mockito_ali12	2.0	56	0.0	0.0
Mockito_ali3	2.0	85984	0.45357275772236694	0.00352685838307108
Mockito_ali37	2.0	16508	0.36346014053792103	0.0013623978201634877
Mockito_ali22	2.0	31570	0.8552423186569528	0.0076726342710997444
Mockito_ali31	2.0	10414	0.28807374687920106	6.954102920723226E-4
Mockito_ali13	2.0	75528	0.23832221163012393	0.0017118402282453639
Mockito_ali14	2.169080978389931	51843	0.28933510792199524	0.001181753722524226
Mockito_ali35	2.0	32454	0.4621926418931411	0.0020635575732562937
Mockito_ali23	2.0	48145	0.2492470661543255	0.0010285420416559527
Mockito_ali29	2.157458563535912	43366	0.34589309597380435	0.001375894331315355
Mockito_ali21	2.0	32033	0.8428807791964537	0.0069498069498069494
Mockito_ali34	3.1437282229965158	38221	0.3924544098793857	0.0021729682746631897
Mockito_ali24	2.025947521865889	52258	0.6888897393700486	0.0034782608695652175
Mockito_ali8	2.1146666666666665	9977	0.6013831813170292	0.005221932114882507
Mockito_ali5	21.714285714285715	58109	0.0	0.0
Mockito_ali17	2.0	15308	0.39195192056441075	0.0019940179461615153
Mockito_ali36	2.0	17008	0.3527751646284102	0.0013486176668914363
Mockito_ali25	2.0157033077180087	23200	0.3879310344827586	9.946949602122016E-4
Mockito_ali4	2.0948166877370418	9318	0.0	0.0
Mockito_ali32	2.0	67961	0.44142964347199126	0.0019743336623889436
Mockito_ali30	2.0	13128	0.22851919561243145	5.662514156285391E-4
Mockito_ali10	2.0329704510108866	28417	0.5278530457120738	0.001547029702970297
Mockito_ali38	2.2020618556701033	19801	0.3030149992424625	0.004073319755600814
Mockito_ali1	2.0	20455	0.43999022243950137	0.0014018691588785046
Mockito_ali9	2.0	59394	0.6061218304879281	0.0033463469046291134
Mockito_ali33	2.0441118550610478	31910	0.4700720777185835	0.0019654088050314465
Mockito_ali18	2.012534818941504	37814	0.7933569577405194	0.006901311249137336
Mockito_ali7	2.002161577951905	29411	0.510013260344769	0.0013401232913428035
Mockito_ali2	2.0	59	0.0	0.0
Mockito_ali15	1.7302199922809727	29801	0.40267105130700315	0.0015337423312883436
Mockito_ali16	2.4510653665583244	32059	0.37430986618422285	0.00144248106743599
Mockito_ali6	2.0	85114	0.4934558357027046	0.002758620689655172
